ticker,company,severity,score,published,source,headline,link
ORCL,Oracle Corporation,watch,1,2026-08-13T09:03:36+00:00,tradingview.com,"Oracle Financial Services Software shares fall 2.05% to Rs 11,440",https://news.google.com/rss/articles/CBMixgFBVV95cUxPOHFGZUd4VHhXcE1JWlNvWFlZREFHVnBNX0hJY2Z2bkdLeU1kX3JHdnl4UnE5X0dqOWpJS2JadVFBamUwbVQ1ajhUTXpWdVRmT0dndEVsOGhFeTZqYWxORlN3bGZ1QmpvalFud2swdWlPY1lNdWxLd19scmZnWXA5emp1Z1U1dWJLQm9XcklfR1hRQkVSZzljSFdhcXFGVmhER1hKTzFXdUR3WUJvMEFsYXc5a3ZnWjhyQWZUSlhCVDlhVjB2cEE?oc=5
NVDA,NVIDIA Corporation,elevated,2,2026-08-13T07:01:00+00:00,Stocktwits,Michael Burry Calls Nvidia’s $500B Wall Street Tie-Up A ‘Sign Of Desperation’ — and Rising Default Expectations Aren't Helping,https://news.google.com/rss/articles/CBMilAJBVV95cUxQTjQyTEJONGRmV05wek1uUXhTY2puMnR0LWlRUHFETWJNRFNleC1ZbmxodnZZdFJGNFlwVHlLSU1sSktiQ3BwYlQ1Y2wwZl9IY1ZNZTNHU2p1ajdGSDlvUzRLVkJTXzZYMTR5dUlqRnhJTHI2Z0ZhNUpmSEJHOVpwOG9oT09PVlRucDRKRXdaNFNUeGcxNnlKOWljQWx4TklXSXYtblEycFZIckxCSUczdXMtLXctNVdaT2ZwdUNPazJfbzNiZ09Iemp5Sm9BUDI0TGU3Uk5xRnIxWGRFMEdvNVRvVXFCS2YtX2d4bFdXUlJTS3Rvd1FXbEg5Y3llWl9FbnhxaDJkMWFHdEVPS2d6QWc2M3M?oc=5
APP,Applovin Corp.,watch,1,2026-08-13T04:49:00+00:00,tradingview.com,"Why Did FVRR, APP, GPRO Stocks Plunge To 52-Week Lows On Wednesday?",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQcFRqOVNodDJtQWYtY3JrRHVwSlNEM253cHBtRy1aSVMwcUY3eXh2SGtIckNuaGNFMzdYVkFiTXctWVBERW1tSHhmeC1iQnAwM3ZkYkhlV0RmYkl6MUw0Qlp4NmJENVhBRE5kLUVSWUdVeFlCVUdoZVhyeEFvS3VmVFVlYjVYbnpJbktqTGdvMXp0UU1jN3JtaTNBZWw2SFhGT3A5b2lMNTVPR2pVa2loQmwxNW5ZT28xTGxvWEVGbWZPa0k?oc=5
ORCL,Oracle Corporation,elevated,2,2026-08-13T02:35:00+00:00,The Times of India,"Oracle layoffs: Company's '6 am layoff emails' may return in next few days, as Oracle plans…",https://news.google.com/rss/articles/CBMi_gFBVV95cUxOQW4yWjF2SEFmYVY3dTgwdUlSQV9KcG0xUlZJa1o4eFN2VDRSSlpxai00ZzJTMVdFMDQzWDA5Tm5Nd04yaG1STkdOUzJES2ROV010SWtlSVZsa21WMTBudktlRm4wOWVJRlQyamU1a3lwT1VsMmdiR1E2MncyYmRTTm1XUmNVWUZsaHJ1bDdPWlBlazFydm1sbmszbkpHRlc1NnhMM0dtNm1qZ2YyazlOZW9SU1g4Tlk3RWt5YVZVdE9MQzAwQUF2dmpDbmlhZXpNQTd4aU1OdFRaT3liMzlMNldXUkFVbFE5dC11bkcyRzlTTV9qLTFqT1NaV2VMZ9IBgwJBVV95cUxOdkVYck9BSGxTa3J3ZlNZU0tqNkJFTXN4eDFJaGdCdWNYSEtORTJOeWlrb0paY3FBLUo4aUJacVJFV2JCRndlTVVTYzgtck5nbEpVZFdqVWVsb0tOOVdWTUFrZ3Foa2ljVzItejAtdzAycnNTY3RHbml5bGJSM0RVdlFlM2hjSzVraWszejBaaGFuUjY2SEVyQjY5bFh4cFUwVUV6RjZNb0ttWDhtQlpFb3AzTVZyRm0wekpXbWZfWFJyZUpEbk52dnVpSUNZTVFwZU9nV0RPMS11MS1qVF9pSzdhSHc1OWpGQW90b3huT0w1SnNwUVQ4dWNyX0xqU3RGWFlB?oc=5
ORCL,Oracle Corporation,watch,1,2026-08-13T02:23:08+00:00,Stocktwits,ORCL Stock Tumbles 10% Today – This Analyst Expects Oracle To Increase Capex Spending Ahead Of Results,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPdWg3b0JkY2MyY2NhZS1idjNvdjRoRWhOdE9mRWxUbEg3S1I3eVRsTkRoVWxlNFEzUnlHa2JwZHBwNjVHdEtzN19UZWc0NGU2U19PcVpCeUt5S25HNUlJQkVMSmhVOF8waEE3UjVsQlQzaXhkTHZDRGUtaVk2a0x6Z3RucXdFa1VUQXQ1UXNPMkg5ZEx6Y01MeU15cG1zd0dGbjhVcVV3QUxRbi1YbEtDU0xxVDhJNVd5Vno5WVVHVnpzRmlfUTE2TEFRY0tUaHZXaWc1ME1uS2hMdExXWWM0RHB4T0RSN3FkUnlzWk9BVjV6OGxod1E?oc=5
ORCL,Oracle Corporation,elevated,2,2026-08-13T02:03:59+00:00,TradingKey,"Oracle Stock Forecast: ORCL Faces Layoffs, $70B Capex and Rising Debt",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQeHNuY25XOEVoWjNvUGh4bEh1YkxKNFQ1STZwdExBWWFVd3dTeENlMzJtNmNPc1lqYmZJRTRDdkY1Ry1SQ0xzVF9JeERLU2VnajFLZHRLd0F2MHNjQWdhcHV4ci12cnJsQkZSa0hvOWJ6bVRJaHo0RjhueFk3T0tqQkk3aldKTXZCdDItQlJGeDNISEJ2Q0Q5blVWLVNLUERFYXY1cWFMenNwc3kyR3dBcWp6WGhzSEpZ?oc=5
AAPL,Apple Inc.,elevated,2,2026-08-13T01:42:47+00:00,GuruFocus,Apple Faces Antitrust Case Suspension as Supreme Court Evaluates Appeal (AAPL),https://news.google.com/rss/articles/CBMitgFBVV95cUxONFo5STlabTlUaEpxalRVenJFWkNpY2JBd0dWS2dwbUtDRl9OcTFyOWxua3V6NkJrcG9XM2J1czRFeGZJd2VhdXNESDAzYTRkaHBobUJIN0ZlczV2aFNhQmVHaHlCU3lDNV9tMk43cUJQblg5Rkxha182UF9MRDlmMk5oMnFpWUhRYlpZWXQ5ZTFIa2FBdlV2SlRIa0JIWWFMc0E2bk9NcDZxWWRucU4ybGhNX19kZw?oc=5
AVGO,Broadcom Inc.,watch,1,2026-08-13T00:42:03+00:00,finance.biggo.com,"Cathie Wood Buys Nvidia, Broadcom, Cloudflare Aggressively Amid Tech Selloff",https://news.google.com/rss/articles/CBMidkFVX3lxTE5DQklYdlBfYUVEeklrRWJLeUhjRFhJVThnbGF6WThhRTkyY3JsdWFmc2c3T2RuaTVWT3VhNjMxSWhISENyb0ZrdVZfemZkNEtfMGZfZUFzaG94cUR4SzlDaTZoNzdlV0hVMzZZcUc2WFlVRE5ZQ2c?oc=5
ON,ON Semiconductor Corporation,watch,1,2026-08-12T20:58:00+00:00,MarketWatch,ON Semiconductor Corp. stock underperforms Wednesday when compared to competitors despite daily gains,https://news.google.com/rss/articles/CBMiigJBVV95cUxPVmlRTERfczJ5UEc0V2JPUklfSlVKVWZZcExCZFAtbmJGelMxWElqVjEwT0VaQkxqbVdwM2FFMlJjVjlkM01TOUJFWjNmVWxqTDlPd2VvZDhYU0w0VWhqb0lBbzJGa0dSaTRJNnhUQ1JNMmF2MGUtNmxrci1veHhpZDBfUF94UThNUVNveXB5LVN5X0RnTjFhSXNfdkRJZ0NselYyUi1MbHB2Mjk1bXFfQnpRT0xMbGdlaUJCVFFJbF9EWEd1MW1mR01ENDV2STlyRnpkM0tqZW4wb2dPazZUOU5xNXk1NnpkaGMwWnhBUGVfWGViWUtiOGRYQmtzMzJ6MHhJSlN2eEFrQQ?oc=5
ORCL,Oracle Corporation,elevated,2,2026-08-12T20:47:00+00:00,Investor's Business Daily,"Oracle Stock Climbs After Quantum Partnership, Layoffs Report",https://news.google.com/rss/articles/CBMikgFBVV95cUxQLTFqLUMzSnpsbHVuZ1dQaHNJT1JueTN4U0R6MEw0VDNaeWF5VnIzeTQ2Ykp4ejlGMklUOWxEZkZtNnZiUDZOYWlKQm1IU3hpZ2ZqTHBkLWx6RFdhZ1AyUlYxNmRpMnYzdU9tb2NjZDdoSFNCSE8tYThuR3B4b05WanhEWnl5anpPdGdwcm5xQzNIZw?oc=5
